taxonkey	countrycode
2977819	BR
2977819	CO
2977819	GY
2977819	VE
7272454	CN
7272454	MN
5599251	CN
5599251	JP
5599251	TW
3941021	ID
3941021	IN
3941021	KH
3941021	LA
3941021	LK
3941021	PK
3941021	VN
3940931	BT
3940931	CN
3940931	ID
3940931	IN
3940931	KH
3940931	LA
3940931	MM
3940931	MY
3940931	NP
3940931	PK
3940931	PH
3940931	TH
3940931	VN
3940858	AU
3940858	ER
3940858	IN
3940858	KE
3940858	LK
3940858	MG
3940858	MZ
3940858	MY
3940858	NE
3940858	NG
3940858	PK
3940858	SD
3940858	SO
3940858	TD
3940858	TZ
3940858	UG
3940858	ZM
3152706	BT
3152706	CN
3152706	ID
3152706	IN
3152706	MM
3152706	MY
3152706	NP
3152706	PK
3152706	PH
3152706	PG
3152706	TH
6712761	BT
6712761	CN
6712761	ID
6712761	IN
6712761	MM
6712761	MY
6712761	NP
6712761	PK
6712761	PH
6712761	TH
6712761	TW
8010473	ID
8010473	IN
8010473	PH
8010473	PG
8312665	AU
8312665	BD
8312665	CN
8312665	ID
8312665	IN
8312665	KH
8312665	LA
8312665	LK
8312665	MY
8312665	PH
8312665	PG
8312665	TH
8312665	TW
8312665	VN
8224382	AU
8224382	ID
7279653	CN
7279653	IN
7279653	KH
7279653	LA
7279653	MM
7279653	TH
3940733	AU
3940733	CN
3940733	ID
3940733	IN
3933326	IN
2685484	AL
2685484	AT
2685484	BG
2685484	BA
2685484	CH
2685484	CZ
2685484	DE
2685484	ES
2685484	FR
2685484	GR
2685484	HR
2685484	HU
2685484	IT
2685484	MK
2685484	ME
2685484	PL
2685484	RO
2685484	RS
2685484	SK
2685484	SI
2685484	UA
2685524	CA
2685524	US
2685383	CA
2685383	US
2685326	GR
2685580	MX
2685580	US
2685414	JP
2685318	US
2685361	CA
2685361	US
2685663	JP
2685313	CA
2685313	US
9082743	US
9060190	CN
9060190	RU
2685552	GE
2685552	TR
2685546	DZ
2685683	AF
2685683	CN
2685683	IN
2685683	NP
2685683	PK
2685464	ES
2685464	MA
2685308	US
2685527	MX
2685437	JP
2685437	RU
2685654	CN
2685654	KZ
2685654	KG
2685654	RU
2685619	AF
2685619	CN
2685619	IN
2685619	NP
2685400	JP
5547677	AU
5547677	BT
5547677	CN
5547677	FM
5547677	ID
5547677	IN
5547677	MM
5547677	MY
5547677	NP
5547677	PH
5547677	TH
5547677	VN
5634252	CN
5634223	CN
5634223	MM
5634223	TH
5634223	VN
5348711	AU
5348711	BD
5348711	BW
5348711	CN
5348711	FJ
5348711	FM
5348711	ID
5348711	IN
5348711	KE
5348711	KH
5348711	LA
5348711	LK
5348711	MG
5348711	MM
5348711	MU
5348711	MY
5348711	NA
5348711	NE
5348711	PK
5348711	PH
5348711	PG
5348711	PF
5348711	RW
5348711	SD
5348711	SZ
5348711	SC
5348711	TG
5348711	TH
5348711	TW
5348711	TZ
5348711	UG
5348711	VN
5348711	ZA
5611695	BW
5611695	KE
5611695	MG
5611695	MU
5611695	NA
5611695	NE
5611695	RW
5611695	SD
5611695	SZ
5611695	SC
5611695	TG
5611695	TZ
5611695	UG
5611695	ZA
3152634	AF
3152634	AU
3152634	BT
3152634	CN
3152634	ID
3152634	IN
3152634	IL
3152634	JO
3152634	JP
3152634	LK
3152634	MG
3152634	MM
3152634	MU
3152634	MY
3152634	NP
3152634	PK
3152634	SC
3152634	TH
3152634	TW
3152632	AR
3152632	BR
3152632	PY
3152632	UY
3152614	AF
3152614	AM
3152614	AZ
3152614	BG
3152614	BA
3152614	DZ
3152614	EG
3152614	GE
3152614	GR
3152614	HR
3152614	IR
3152614	IT
3152614	KZ
3152614	KG
3152614	ME
3152614	PK
3152614	RO
3152614	RU
3152614	TJ
3152614	TM
3152614	TR
3152614	UZ
2979180	AU
2978547	AU
2979331	AU
2979454	AU
2981001	AU
2981001	ID
2981001	PG
2981303	AU
2978269	AU
2980690	AU
3978854	AU
2979488	AU
2978750	AU
2978466	PH
2978914	AU
2979506	AU
2979506	ID
2979506	PG
2980425	AU
2979474	AU
2979699	AU
2979778	AU
2981101	AU
7302727	AU
3978207	AU
7302728	AU
2979927	AU
2973176	AU
2980066	AU
2980354	AU
2979641	RE
2979232	AU
2980514	US
2980592	AU
2978730	AU
2979091	AU
2979775	AU
2979000	AU
2979057	AU
3975725	AU
3975725	ID
3975725	PG
2981159	AU
2979494	AU
3974955	ID
3974955	PG
2979014	AU
2978612	AU
2978604	AU
2978552	AU
2979375	AU
2979105	AU
2981071	AR
2981071	BO
2981071	CO
2981071	CR
2981071	EC
2981071	GT
2981071	HN
2981071	MX
2981071	NI
2981071	PA
2981071	PE
2981071	SV
2981071	US
2981071	VE
3794870	AN
3794870	BB
3794870	GP
3794870	MS
3794870	MQ
3794870	VC
3794870	VE
7942884	NZ
5371172	AU
5370697	AR
5370697	CL
5370688	NZ
5371108	AR
5370755	AU
5370755	NZ
5371158	AU
5370801	NZ
3056733	BZ
3056733	BO
3056733	BR
3056733	CO
3056733	CR
3056733	DM
3056733	EC
3056733	GP
3056733	GT
3056733	GF
3056733	GY
3056733	HN
3056733	LC
3056733	MX
3056733	MQ
3056733	NI
3056733	PA
3056733	PE
3056733	SV
3056733	SR
3056733	TT
3056733	VE
3056623	BI
3056623	ET
3056623	IN
3056623	KE
3056623	LK
3056623	MM
3056623	MZ
3056623	MW
3056623	NA
3056623	RW
3056623	SD
3056623	SO
3056623	TZ
3056623	UG
3056623	YE
3056297	AR
3056297	BO
3056297	PY
3056375	PG
3056259	AO
3056259	BJ
3056259	BF
3056259	BW
3056259	ET
3056259	GH
3056259	GN
3056259	GM
3056259	GW
3056259	ID
3056259	IN
3056259	KE
3056259	LR
3056259	LK
3056259	MG
3056259	MM
3056259	MZ
3056259	MR
3056259	MU
3056259	MW
3056259	MY
3056259	NA
3056259	NE
3056259	PK
3056259	PH
3056259	PG
3056259	RE
3056259	SN
3056259	SL
3056259	SO
3056259	SZ
3056259	TG
3056259	TH
3056259	TW
3056259	TZ
3056259	UG
3056259	ZA
3056259	CD
3056259	ZM
3056259	ZW
3056384	CA
3056384	US
3056042	CN
3056042	ID
3056042	LA
3056042	MM
3056042	MY
3056042	TH
3056042	VN
3056055	US
3084455	AN
3084455	BZ
3084455	CR
3084455	CU
3084455	DM
3084455	GP
3084455	GD
3084455	GT
3084455	HN
3084455	LC
3084455	MX
3084455	MQ
3084455	NI
3084455	PA
3084455	SV
3084455	TT
3084455	US
3084455	VE
4090128	AM
4090128	TR
4089793	IQ
4089793	SY
4089793	TR
2738443	MU
2738443	RE
8327014	AO
8327014	NA
3100364	AR
3100364	BO
3100364	BR
3100364	CO
3100364	GD
3100364	GF
3100364	GY
3100364	MQ
3100364	PY
3100364	SR
3100364	UY
3100364	VC
3100364	VE
3100375	AR
3100375	BO
3100375	BR
3100375	CO
3100375	CR
3100375	DO
3100375	GT
3100375	GF
3100375	GY
3100375	HN
3100375	NI
3100375	PE
3100375	PR
3100375	PY
3100375	SV
3100375	SR
3100375	UY
3100375	VE
3142611	AR
3142611	BO
3142611	BR
3142611	UY
5415455	DZ
5415455	ES
5415455	FR
5415455	HR
5415455	IT
5415455	MA
5415455	MT
5415455	SY
5415455	TN
5415453	AL
5415453	BG
5415453	DZ
5415453	GR
5415453	HR
5415453	IT
5415453	TR
5415452	IL
5415452	LB
5415452	SY
5415452	TR
5418629	AR
5418629	BR
5418629	PY
5418629	UY
7100404	CN
7100404	TW
3189863	AL
3189863	AM
3189863	AT
3189863	AZ
3189863	BE
3189863	BG
3189863	CH
3189863	DE
3189863	DK
3189863	DZ
3189863	ES
3189863	FR
3189863	GB
3189863	GE
3189863	GR
3189863	HU
3189863	IR
3189863	IT
3189863	MD
3189863	NL
3189863	PL
3189863	PT
3189863	RO
3189863	RU
3189863	SE
3189863	TN
3189863	TR
3189863	UA
7495204	JP
7262908	AM
7262908	AZ
7262908	BT
7262908	CN
7262908	GE
7262908	IN
7262908	IR
7262908	NP
7262908	PK
7262908	TR
3768602	JP
3189884	CA
3189884	US
7877018	JP
3768050	JP
7262943	CN
3189844	US
3768452	CN
7263050	AL
7263050	BG
7263050	GR
7508088	AM
7508088	AZ
7508088	GE
7508088	RU
7508088	TR
8010851	JP
3189835	CA
3189835	US
7263103	CN
7263103	KP
3768422	CN
3768422	JP
3189866	CA
3189866	GT
3189866	MX
3189866	US
7262960	BT
7262960	CN
7262960	IN
7262960	JP
7262960	MM
7262960	NP
7262960	PK
7912328	JP
7912328	KR
3189836	CA
3189836	US
3189846	AF
3189846	AL
3189846	AM
3189846	AT
3189846	AZ
3189846	BE
3189846	BG
3189846	BY
3189846	CH
3189846	DE
3189846	ES
3189846	EE
3189846	FI
3189846	FR
3189846	GE
3189846	GR
3189846	HU
3189846	IR
3189846	IT
3189846	KG
3189846	LT
3189846	LV
3189846	NO
3189846	PL
3189846	RO
3189846	RU
3189846	SE
3189846	TJ
3189846	UA
3189870	AL
3189870	AT
3189870	BG
3189870	BY
3189870	CH
3189870	DE
3189870	DK
3189870	ES
3189870	FR
3189870	GE
3189870	GR
3189870	HU
3189870	IT
3189870	MD
3189870	PL
3189870	PT
3189870	RO
3189870	UA
3189883	CA
3189883	US
7263145	JP
3189837	CA
3189837	US
3189855	CA
3189855	US
7262942	CA
7262942	US
7263086	JP
7263080	JP
3189848	CA
3189848	US
4925890	CN
4925890	MN
4925890	KP
7262910	AM
7262910	AT
7262910	AZ
7262910	GE
7262910	HU
7262910	RO
7262910	TR
7262910	UA
7263031	CN
7263012	CN
7263012	RU
7574829	AZ
7574829	IR
8982317	AL
8982317	BG
8982317	BA
8982317	GR
8982317	ME
8982317	RS
3120391	ES
3120391	FR
3120391	HR
3120391	IT
3120391	MA
3120391	PT
3120223	CA
3120223	CN
3120223	JP
3120223	MN
3120223	NP
3120223	RU
3120223	US
3120117	AL
3120117	AT
3120117	BA
3120117	CH
3120117	DE
3120117	HR
3120117	IT
3120117	ME
3120117	RS
3120117	SI
3120016	AL
3120016	BG
3120016	GR
3120016	MK
3120016	RO
3120016	RS
3120016	TR
4216472	AT
4216472	CH
4216472	FR
4216472	IT
3120284	AF
3120284	AM
3120284	AZ
3120284	GE
3120284	IR
3120284	IQ
3120284	KG
3120284	TJ
3120284	TR
8977252	EG
8977252	IL
8977252	JO
8977252	LB
8977252	SA
8977252	SY
9221087	AF
9221087	AL
9221087	AM
9221087	AT
9221087	AZ
9221087	BE
9221087	BG
9221087	BA
9221087	BY
9221087	CA
9221087	CH
9221087	CZ
9221087	DE
9221087	DK
9221087	ES
9221087	EE
9221087	FI
9221087	FR
9221087	FO
9221087	GB
9221087	GE
9221087	GR
9221087	GT
9221087	HN
9221087	HR
9221087	HU
9221087	IN
9221087	IE
9221087	IR
9221087	IT
9221087	KZ
9221087	KG
9221087	LT
9221087	LV
9221087	MX
9221087	MK
9221087	ME
9221087	MN
9221087	NL
9221087	NO
9221087	PK
9221087	PL
9221087	PT
9221087	RO
9221087	RU
9221087	RS
9221087	SK
9221087	SI
9221087	SE
9221087	TR
9221087	UA
9221087	US
3120333	AT
3120333	BE
3120333	BA
3120333	BY
3120333	CH
3120333	CZ
3120333	DE
3120333	DK
3120333	ES
3120333	EE
3120333	FI
3120333	FR
3120333	FO
3120333	GB
3120333	HR
3120333	HU
3120333	IE
3120333	IT
3120333	LT
3120333	LV
3120333	ME
3120333	NL
3120333	NO
3120333	PL
3120333	RO
3120333	SK
3120333	SI
3120333	SE
3120333	UA
3120236	GR
5589977	CR
5589977	GT
5589977	HN
5589977	MX
5589977	PA
5589891	BZ
5589891	CO
5589891	CR
5589891	GT
5589891	HN
5589891	MX
5589891	NI
6365250	CO
6365250	CR
6365250	GT
6365250	HN
6365250	MX
6365250	NI
6365250	PA
6365250	SV
4142353	AF
4142353	BT
4142353	CN
4142353	IN
4142353	NP
4142353	PK
2703427	CA
2703427	US
8213996	US
4141675	CA
4141675	US
4270451	US
2703438	MX
2703438	US
4141276	AF
4141276	CN
4141276	KZ
4141276	KG
4141276	MN
4141276	NP
4141276	PK
4141276	RU
4141276	UZ
3085168	AF
3085168	AU
3085168	BO
3085168	BB
3085168	BT
3085168	CN
3085168	CI
3085168	CM
3085168	CO
3085168	CR
3085168	DM
3085168	DZ
3085168	EC
3085168	EG
3085168	ES
3085168	GD
3085168	GT
3085168	GF
3085168	GY
3085168	HN
3085168	ID
3085168	IN
3085168	IR
3085168	IT
3085168	JO
3085168	KE
3085168	KH
3085168	LA
3085168	LB
3085168	LC
3085168	LK
3085168	MA
3085168	MX
3085168	MM
3085168	MY
3085168	NG
3085168	NI
3085168	NP
3085168	PK
3085168	PE
3085168	SD
3085168	SN
3085168	SL
3085168	SV
3085168	SR
3085168	SY
3085168	TH
3085168	TN
3085168	TW
3085168	TZ
3085168	UG
3085168	VC
3085168	VN
3085175	BT
3085175	CN
3085175	CM
3085175	GQ
3085175	ID
3085175	IN
3085175	JP
3085175	LA
3085175	LK
3085175	MM
3085175	MY
3085175	NG
3085175	NP
3085175	PK
3085175	PH
3085175	PG
3085175	RU
3085175	SB
3085175	TH
3085175	TW
3085175	VN
8406100	JP
3085172	JP
7323683	CN
7323683	JP
7323683	TW
3139534	AR
3139534	BO
3139534	BR
3139534	CO
3139534	EC
3139534	GY
3139534	PE
3139534	PY
3139534	UY
3139534	VE
5380358	JM
2984895	BR
5326565	DZ
5326565	ES
5326565	IT
5326565	MA
5326565	PT
5326565	TN
5386744	CN
5386744	ID
5386744	IN
5386744	LK
5386744	MM
5386744	NP
5386744	PH
5386744	TH
5386744	VN
2732163	BS
2732163	BZ
2732163	CO
2732163	CR
2732163	CU
2732163	GT
2732163	HN
2732163	MX
2732163	NI
2732163	US
3619612	MW
3619612	TZ
7934175	MZ
7934175	ZA
3619546	KE
3619546	MZ
3619546	MW
3619546	SZ
3619546	TZ
3619546	ZA
3619546	CD
3619546	ZM
3619546	ZW
3619502	SZ
3619502	ZA
3619502	ZW
7576345	DJ
7576345	ER
7576345	ET
7576345	KE
7576345	RW
7576345	SO
7576345	TZ
7576345	UG
7576345	YE
7576345	CD
3033670	AT
3033670	AZ
3033670	BA
3033670	CH
3033670	CZ
3033670	ES
3033670	FR
3033670	GE
3033670	HR
3033670	HU
3033670	IT
3033670	KZ
3033670	ME
3033670	RO
3033670	RU
3033670	RS
3033670	SK
3033670	SI
3033670	UA
3926898	BT
3926898	IN
3926898	NP
3926850	CN
8244887	CN
7466729	CN
3033668	CA
3033668	US
8121969	CN
8121969	RU
3925507	IN
3033681	BT
3033681	IN
3033681	NP
3033674	CN
3033674	RU
7277247	CN
7277244	CN
7358931	IN
7358931	NP
7358931	PK
6710373	CN
7277127	CN
