Juniperus recurva var. coxii
Malus x purpurea
Potamogeton richardsonii
Conophytum calculus
Conophytum wettsteinii
Lithops pseudotruncatella
Lithops hookeri
Trifolium montanum subsp. humboldtianum
Dryopteris caucasica
Echinochloa esculenta
Aframomum corrorima
Laburnum x watereri
Deguelia utilis
Saccharum perrieri
Saccharum viguieri
Mansonia altissima
Pouteria pierrei
Coffea kapakata
Milicia regia
Actinidia deliciosa
Guibourtia ehie
Carya poilanei
Vigna unguiculata subsp. baoulensis
Guarea cedrata
Tieghemella heckelii
Daucus tenuissimus
Abelmoschus caillei
Eremophila deserti
Ozothamnus ledifolius
Alphitonia excelsa
Brachychiton acerifolius
Flindersia xanthoxyla
Microcitrus australis
Euphorbia tannensis subsp. eremophila
Alstonia actinophylla
Beilschmiedia tawa
Muehlenbeckia complexa
Acokanthera schimperi
Pouteria multiflora
Saba senegalensis
Comandra umbellata subsp. pallida
Corylus californica
Fernaldia pandurata
Astrophytum capricorne
Coreopsis basalis
Cucumis reticulatus
Orobanche cooperi
Psilostrophe sparsiflora
Astragalus miser var. serotinus
Hymenoxys hoopesii
Senegalia greggii
Boltonia asteroides var. latisquama
Ipomoea cordatotriloba var. torreyana
Laennecia coulteri
Symphyotrichum laeve var. geyeri
Symphyotrichum pilosum var. pringlei
Lewisiopsis tweedyi
Hazardia cana
Ligularia dentata
Psacalium decompositum
Helianthus niveus subsp. canescens
Helianthus niveus subsp. tephrodes
Rhododendron molle subsp. japonicum
Astragalus lentiginosus var. diphysus
Sambucus racemosa var. melanocarpa
Physaria fendleri
Helianthus porteri
Ageratina wrightii
Toxicoscordion nuttallii
Blitum spathulatum
Asclepias pumila
Asclepias subverticillata
Ambrosia dumosa
Handroanthus billbergii subsp. amplus
Fragaria vesca f. bracteata
Fragaria vesca subsp. bracteata
Larix gmelinii var. olgensis
Aglaia elaeagnoidea
Dysoxylum fraserianum
Callaeum septentrionale
Toona sinensis
Tetradium ruticarpum
Amorimia pubiflora
Amorimia rigida
Niedenzuella multiglandulosa
Parthenocissus inserta
Thinopyrum junceiforme
Chamaecyparis lawsoniana
Atriplex gardneri var. aptera
Ambrosia grayi
Sannantha angusta
Sannantha bidwillii
Dacrycarpus dacrydioides
Commiphora africana
Eragrostis tenuifolia
Oxytenanthera abyssinica
Amorphophallus abyssinicus
Launaea petitiana
Sorindeia juglandifolia
Cupaniopsis anacardioides
Digitaria ternata
Eragrostis macilenta
Tapinanthus globiferus
Grimmeodendron eglandulosum
Dovyalis abyssinica
Abutilon megapotamicum
Talisia esculenta
Allophylus edulis
Ceiba speciosa
Oxalis articulata subsp. rubra
Brunnera macrophylla
Chenopodium quinoa subsp. milleanum
Chenopodium berlandieri var. bushianum
Chenopodium berlandieri var. macrocalycium
Parquetina nigrescens
Vataireopsis araroba
Nasturtium x sterile
Malus spectabilis
Dimorphotheca tragus
Picconia excelsa
Populus deltoides subsp. monilifera
Cajanus reticulatus
Cyanthillium patulum
Rhodomyrtus tomentosa
Babiana stricta
Sauromatum venosum
Dryopteris aemula
Malus angustifolia
Spartina patens
Urtica dioica subsp. gracilis
Populus x canescens
Persicaria tinctoria
Nothoscordum gracile
