originalId,originalName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
,"Abies spectabilis","Abies spectabilis (D. Don) Mirb.","2685619","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies spectabilis"
,"Abies veitchii","Abies veitchii Lindl.","2685400","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies veitchii"
,"Abroma augustum","Abroma augustum (L.) L. f.","5547677","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abroma","Abroma augustum"
,"Abrus cantoniensis","Abrus cantoniensis Hance","5634252","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus pulchellus"
,"Abrus mollis","Abrus mollis Hance","5634223","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus pulchellus"
,"Abrus precatorius","Abrus precatorius L.","5348711","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus precatorius"
,"Abrus precatorius subsp. africanus","Abrus precatorius subsp. africanus Verdc.","5611695","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus precatorius"
,"Abutilon indicum","Abutilon indicum (L.) Sweet","3152634","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","Abutilon indicum"
,"Abutilon pictum","Abutilon pictum (Gillies ex Hook.) Walp.","3152632","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Callianthe","Callianthe picta"
,"Abutilon theophrasti","Abutilon theophrasti Medik.","3152614","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","Abutilon theophrasti"
,"Acacia acuminata","Acacia acuminata Benth.","2979180","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia acuminata"
,"Acacia ampliceps","Acacia ampliceps Maslin","2978547","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia ampliceps"
,"Acacia aneura","Acacia aneura F.Muell. ex Benth.","2979331","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia aneura"
,"Acacia aulacocarpa","Acacia aulacocarpa A.Cunn. ex Benth.","2979454","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia aulacocarpa"
,"Acacia auriculiformis","Acacia auriculiformis A.Cunn. ex Benth.","2981001","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia auriculiformis"
,"Acacia baileyana","Acacia baileyana F.Muell.","2981303","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia baileyana"
,"Acacia binervia","Acacia binervia (J.C.Wendl.) J.F.Macbr.","2978269","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia binervia"
,"Acacia cambagei","Acacia cambagei R.T.Baker","2980690","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia cambagei"
,"Acacia celsa","Acacia celsa Tindale","3978854","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia celsa"
,"Acacia cibaria","Acacia cibaria F. Muell.","2979488","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia cibaria"
,"Acacia colei","Acacia colei Maslin & L.A.J.Thomson","2978750","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia colei"
,"Acacia confusa","Acacia confusa Merr.","2978466","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia confusa"
,"Acacia coriacea subsp. pendens","Acacia coriacea subsp. pendens R.S.Cowan & Maslin","2978914","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia coriacea"
,"Acacia crassicarpa","Acacia crassicarpa A.Cunn. ex Benth.","2979506","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia crassicarpa"
,"Acacia cyclops","Acacia cyclops A.Cunn. ex G.Don","2980425","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia cyclops"
,"Acacia dealbata","Acacia dealbata Link","2979474","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia dealbata"
,"Acacia deanei","Acacia deanei (R.T.Baker) M.B.Welch, Coombs & McGlynn","2979699","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia deanei"
,"Acacia decurrens","Acacia decurrens Willd.","2979778","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia decurrens"
,"Acacia difficilis","Acacia difficilis Maiden","2981101","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia difficilis"
,"Acacia disparrima","Acacia disparrima M.W.McDonald & Maslin","7302727","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia disparrima"
,"Acacia disparrima subsp. calidestris","Acacia disparrima subsp. calidestris M.W.McDonald & Maslin","3978207","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia disparrima"
,"Acacia disparrima subsp. disparrima","Acacia disparrima subsp. disparrima","7302728","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia disparrima"
,"Acacia drummondii","Acacia drummondii Lindl.","2979927","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia drummondii"
,"Acacia elata","Acacia elata A.Cunn. ex Benth.","2973176","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia elata"
,"Acacia georginae","Acacia georginae F.M.Bailey","2980066","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia georginae"
,"Acacia harpophylla","Acacia harpophylla F.Muell. ex Benth.","2980354","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia harpophylla"
,"Acacia heterophylla","Acacia heterophylla (Lam.) Willd.","2979641","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia heterophylla"
,"Acacia implexa","Acacia implexa Benth.","2979232","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia implexa"
,"Acacia koa","Acacia koa A.Gray","2980514","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia koa"
,"Acacia latifolia","Acacia latifolia Benth.","2980592","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia latifolia"
,"Acacia longifolia","Acacia longifolia (Andrews) Willd.","2978730","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia longifolia"
,"Acacia mangium","Acacia mangium Willd.","2979091","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia mangium"
,"Acacia mearnsii","Acacia mearnsii De Wild.","2979775","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia mearnsii"
,"Acacia melanoxylon","Acacia melanoxylon R.Br.","2979000","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia melanoxylon"
,"Acacia microbotrya","Acacia microbotrya Benth.","2979057","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia microbotrya"
,"Acacia midgleyi","Acacia midgleyi M.W.McDonald & Maslin","3975725","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia midgleyi"
,"Acacia paradoxa","Acacia paradoxa DC.","2981159","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia paradoxa"
,"Acacia pendula","Acacia pendula A.Cunn. ex G.Don","2979494","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia pendula"
,"Acacia peregrinalis","Acacia peregrinalis M.W.McDonald & Maslin","3974955","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia peregrinalis"
,"Acacia podalyriifolia","Acacia podalyriifolia A.Cunn. ex G.Don","2979014","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia podalyriifolia"
,"Acacia prominens","Acacia prominens A.Cunn. ex G.Don","2978612","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia prominens"
,"Acacia pycnantha","Acacia pycnantha Benth.","2978604","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia pycnantha"
,"Acacia saligna","Acacia saligna (Labill.) H.L.Wendl.","2978552","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia saligna"
,"Acacia tumida","Acacia tumida F.Muell. ex Benth.","2979375","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia tumida"
,"Acacia victoriae","Acacia victoriae Benth.","2979105","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia victoriae"
,"Acaciella angustissima","Acaciella angustissima (Mill.) Britton & Rose","2981071","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acaciella","Acaciella angustissima"
,"Acaciella glauca","Acaciella glauca (L.) L.Rico","3794870","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acaciella","Acaciella glauca"
,"Acaena anserinifolia","Acaena anserinifolia (J.F. & G. Forst.) Druce","7942884","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena anserinifolia"
,"Acaena echinata","Acaena echinata Nees","5371172","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena echinata"
,"Acaena lucida","Acaena lucida (Ait.) Vahl","5370697","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena lucida"
,"Acaena microphylla","Acaena microphylla Hook.f.","5370688","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena microphylla"
,"Acaena myriophylla","Acaena myriophylla Lindl.","5371108","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena myriophylla"
,"Acaena novae-zelandiae","Acaena novae-zelandiae T. Kirk","5370755","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena novae-zelandiae"
,"Acaena ovina","Acaena ovina A. Cunn.","5371158","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena ovina"
,"Acaena pallida","Acaena pallida (T. Kirk) J. W. Dawson","5370801","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena pallida"
,"Acalypha aristata","Acalypha aristata Kunth","3056733","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha aristata"
,"Acalypha fruticosa","Acalypha fruticosa Forssk.","3056623","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha fruticosa"
,"Acalypha herzogiana","Acalypha herzogiana Pax & K.Hoffm.","3056297","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha herzogiana"
,"Acalypha hispida","Acalypha hispida Burm. f.","3056375","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha hispida"
,"Acalypha indica","Acalypha indica L.","3056259","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha indica"
,"Acalypha rhomboidea","Acalypha rhomboidea Raf.","3056384","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha virginica"
,"Acalypha siamensis","Acalypha siamensis Oliv. ex Gage","3056042","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha siamensis"
,"Acalypha virginica","Acalypha virginica L.","3056055","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha virginica"
,"Acanthocereus tetragonus","Acanthocereus tetragonus (L.) Hummelinck","3084455","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cereus","Cereus fernambucensis"
,"Acantholimon glumaceum","Acantholimon glumaceum (Jaub. & Spach) Boiss.","4090128","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Acantholimon","Acantholimon glumaceum"
,"Acantholimon venustum","Acantholimon venustum Boiss.","4089793","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Acantholimon","Acantholimon venustum"
,"Acanthophoenix rubra","Acanthophoenix rubra (Bory) H.Wendl.","2738443","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Acanthophoenix","Acanthophoenix rubra"
,"Acanthosicyos horridus","Acanthosicyos horridus Welw.","8327014","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Acanthosicyos","Acanthosicyos horridus"
,"Acanthospermum australe","Acanthospermum australe (Loefl.) Kuntze","3100364","EXACT","98","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum","Acanthospermum australe"
,"Acanthospermum hispidum","Acanthospermum hispidum DC.","3100375","EXACT","98","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum","Acanthospermum hispidum"
,"Acanthostyles buniifolius","Acanthostyles buniifolius (Hook. & Arn.) R.M.King & H.Rob.","3142611","EXACT","98","DOUBTFUL","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthostyles","Acanthostyles buniifolius"
,"Acanthus mollis","Acanthus mollis L.","5415455","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus","Acanthus mollis"
,"Acanthus spinosus","Acanthus spinosus L.","5415453","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus","Acanthus spinosus"
,"Acanthus syriacus","Acanthus syriacus Boiss.","5415452","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus","Acanthus hirsutus"
,"Acca sellowiana","Acca sellowiana (O.Berg) Burret","5418629","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Acca","Acca sellowiana"
,"Acer buergerianum","Acer buergerianum Miq.","7100404","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer buergerianum"
,"Acer campestre","Acer campestre L.","3189863","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer campestre"
,"Acer capillipes","Acer capillipes Maxim. ex Miq.","7495204","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer capillipes"
,"Acer cappadocicum","Acer cappadocicum Gled.","7262908","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer cappadocicum"
,"Acer carpinifolium","Acer carpinifolium Sieb. & Zucc.","3768602","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer carpinifolium"
,"Acer circinatum","Acer circinatum Pursh","3189884","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer circinatum"
,"Acer cissifolium","Acer cissifolium (Sieb. & Zucc.) C. Koch","7877018","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer cissifolium"
,"Acer crataegifolium","Acer crataegifolium Sieb. & Zucc.","3768050","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer crataegifolium"
,"Acer davidii","Acer davidii Franch.","7262943","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer davidii"
,"Acer griseum","Acer griseum (Franch.) Pax","3768452","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer griseum"
