originalId,originalName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
,"Abarema barbouriana var. arenaria","Abarema barbouriana var. arenaria (Ducke) Barneby & J.W.Grimes","2977819","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abarema","Abarema barbouriana"
,"Abelia biflora","Abelia biflora Turcz.","7272454","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Zabelia","Zabelia biflora"
,"Abelia chinensis","Abelia chinensis R. Br.","5599251","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Linnaeaceae","Linnaea","Linnaea chinensis"
,"Abeliophyllum distichum","Abeliophyllum distichum Nakai","7326165","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Abeliophyllum","Abeliophyllum distichum"
,"Abelmoschus angulosus","Abelmoschus angulosus Wall. ex Wight & Arn.","3941021","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus angulosus"
,"Abelmoschus crinitus","Abelmoschus crinitus Wall.","3940931","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus crinitus"
,"Abelmoschus ficulneus","Abelmoschus ficulneus (L.) Wight & Arn. ex Wight","3940858","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus ficulneus"
,"Abelmoschus manihot","Abelmoschus manihot (L.) Medik.","3152706","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot"
,"Abelmoschus manihot var. pungens","Abelmoschus manihot var. pungens (Roxb.) Hochr.","6712761","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot"
,"Abelmoschus manihot var. tetraphyllus","Abelmoschus manihot var. tetraphyllus (Roxb. ex Hornem.) Hochr.","8010473","EXACT","99","SYNONYM","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot"
,"Abelmoschus moschatus","Abelmoschus moschatus","8312665","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus"
,"Abelmoschus moschatus subsp. biakensis","Abelmoschus moschatus subsp. biakensis (Hochr.) Borssum Waalkes","8224382","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus"
,"Abelmoschus moschatus subsp. moschatus","Abelmoschus moschatus subsp. moschatus","7279653","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus"
,"Abelmoschus moschatus subsp. tuberosus","Abelmoschus moschatus subsp. tuberosus (Spanoghe) Borssum Waalkes","3940733","EXACT","98","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus sagittifolius"
,"Abelmoschus tuberculatus","Abelmoschus tuberculatus Pal & Singh","3933326","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus esculentus"
,"Abies alba","Abies alba Mill.","2685484","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies alba"
,"Abies amabilis","Abies amabilis Douglas ex J. Forbes","2685524","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies amabilis"
,"Abies balsamea","Abies balsamea (L.) Mill.","2685383","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies balsamea"
,"Abies cephalonica","Abies cephalonica Loudon","2685326","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies cephalonica"
,"Abies concolor","Abies concolor (Gordon) Lindl. ex Hildebr.","2685580","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies concolor"
,"Abies firma","Abies firma Siebold & Zucc.","2685414","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies firma"
,"Abies fraseri","Abies fraseri (Pursh) Poir.","2685318","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies fraseri"
,"Abies grandis","Abies grandis (Douglas ex D. Don) Lindl.","2685361","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies grandis"
,"Abies homolepis","Abies homolepis Siebold & Zucc.","2685663","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies homolepis"
,"Abies koreana","Abies koreana E.H. Wilson","2685681","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies koreana"
,"Abies lasiocarpa","Abies lasiocarpa (Hook.) Nutt.","2685313","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies lasiocarpa"
,"Abies magnifica","Abies magnifica","9082743","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies magnifica"
,"Abies nephrolepis","Abies nephrolepis (Trautv. ex Maxim.) Maxim.","9060190","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies nephrolepis"
,"Abies nordmanniana","Abies nordmanniana (Steven) Spach","2685552","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies nordmanniana"
,"Abies numidica","Abies numidica de Lannoy ex Carrière","2685546","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies numidica"
,"Abies pindrow","Abies pindrow (Royle ex D. Don) Royle","2685683","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies pindrow"
,"Abies pinsapo","Abies pinsapo Boiss.","2685464","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies pinsapo"
,"Abies procera","Abies procera Rehd.","2685308","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies procera"
,"Abies religiosa","Abies religiosa (Kunth) Schltdl. & Cham.","2685527","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies religiosa"
,"Abies sachalinensis","Abies sachalinensis (F. Schmidt) Mast.","2685437","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies sachalinensis"
,"Abies sibirica","Abies sibirica Ledeb.","2685654","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies sibirica"
